overall|team_idx|player pos team
62|1|Tyrone Tracy Jr. RB NYG
63|2|David Montgomery RB HOU
64|3|Aaron Jones RB MIN
65|4|Brock Purdy QB SF
66|5|T.J. Hockenson TE MIN
67|6|George Pickens WR DAL
68|7|DJ Moore WR BUF
69|8|Packers DST GB
70|9|Jared Goff QB DET
71|9|Jerome Ford RB WAS
72|8|Jacory Croskey-Merritt RB WAS
73|7|Calvin Ridley WR TEN
74|6|Drake Maye QB NE
75|5|J.K. Dobbins RB DEN
76|4|Sam LaPorta TE DET
77|3|Caleb Williams QB CHI
78|2|David Njoku TE LAC
79|1|DeVonta Smith WR PHI
80|0|Jordan Love QB GB
81|0|Tyler Warren TE IND
82|1|Mark Andrews TE BAL
83|2|Kaleb Johnson RB PIT
84|3|Tetairoa McMillan WR CAR
85|4|Eagles DST PHI
86|5|Travis Kelce TE KC
87|6|Tucker Kraft TE GB
88|7|Evan Engram TE DEN
89|8|Emeka Egbuka WR TB
90|9|Travis Etienne RB NO
91|9|Jaylen Waddle WR DEN
92|8|Jameson Williams WR DET
93|7|Justin Fields QB KC
94|6|Austin Ekeler RB WAS
95|5|Broncos DST DEN
96|4|Ravens DST BAL
97|3|Steelers DST PIT
98|2|Ricky Pearsall WR SF
99|1|Jaylen Warren RB PIT
100|0|Matthew Golden WR GB
101|0|Zach Charbonnet RB SEA
102|1|Vikings DST MIN
103|2|J.J. McCarthy QB MIN
104|3|Colston Loveland TE CHI
105|4|Jerry Jeudy WR CLE
106|5|Rome Odunze WR CHI
107|6|Trevor Lawrence QB JAC
108|7|Texans DST HOU
109|8|Chargers DST LAC
110|9|49ers DST SF
111|9|Chiefs DST KC
112|8|Cam Skattebo RB NYG
113|7|Javonte Williams RB DAL
114|6|Bills DST BUF
115|5|Jordan Mason RB MIN
116|4|Rhamondre Stevenson RB NE
117|3|Travis Hunter WR JAC
118|2|Jake Ferguson TE DAL
119|1|Chris Olave WR NO
120|0|Dallas Goedert TE PHI
121|0|Nick Chubb RB HOU
122|1|Braelon Allen RB NYJ
123|2|Stefon Diggs WR WAS
124|3|Trey Benson RB ARI
125|4|Jakobi Meyers WR JAC
126|5|Rashee Rice WR KC
127|6|Kyle Pitts TE ATL
128|7|Tyjae Spears RB TEN
129|8|Zach Ertz TE WAS
130|9|Tank Bigsby RB PHI
131|9|Deebo Samuel WR SF
132|8|Najee Harris RB NYG
133|7|Lions DST DET
134|6|Seahawks DST SEA
135|5|Brandon Aubrey K DAL
136|4|Khalil Shakir WR BUF
137|3|Bears DST CHI
138|2|Patriots DST NE
139|1|Jauan Jennings WR MIN
140|0|Giants DST NYG
141|0|Jordan Addison WR MIN
142|1|Dalton Kincaid TE BUF
143|2|C.J. Stroud QB HOU
144|3|Joe Mixon RB HOU
145|4|Cooper Kupp WR SEA
146|5|Michael Pittman WR PIT
147|6|Chris Boswell K PIT
148|7|Jake Bates K DET
149|8|Hunter Henry TE NE
150|9|Brenton Strange TE JAC
151|9|Quinshon Judkins RB CLE
152|8|Jaydon Blue RB DAL
153|7|Chris Godwin WR TB
154|6|Keon Coleman WR BUF
155|5|Ollie Gordon II RB MIA
156|4|Matt Gay K LV
157|3|Cameron Dicker K LAC
158|2|Bhayshul Tuten RB JAC
159|1|Brian Robinson Jr. RB ATL
160|0|Jets DST NYJ
161|0|Michael Penix Jr. QB ATL
162|1|Rams DST LAR
163|2|Commanders DST WAS
164|3|Bryce Young QB CAR
165|4|Rachaad White RB WAS
166|5|Cardinals DST ARI
167|6|Matthew Stafford QB LAR
168|7|Chase McLaughlin K TB
169|8|Dameon Pierce RB PHI
170|9|Jake Elliott K PHI
171|9|Buccaneers DST TB
172|8|Will Reichard K MIN
173|7|Jayden Reed WR GB
174|6|Wil Lutz K DEN
175|5|Harrison Butker K KC
176|4|Younghoe Koo K NYJ
177|3|Tyler Bass K BUF
178|2|Tyler Loop K BAL
179|1|Evan McPherson K CIN
180|0|Josh Downs WR IND
181|0|Ka'imi Fairbairn K HOU
182|1|Jake Moody K WAS
183|2|Brandon McManus K GB
184|3|Browns DST CLE
185|4|Tua Tagovailoa QB ATL
186|5|Rashod Bateman WR BAL
187|6|Tyler Allgeier RB ARI
188|7|Chigoziem Okonkwo TE WAS
189|8|Daniel Carlson K NO
190|9|Cairo Santos K CHI
