overall|team_idx|player pos team
teams: 0=The Million Dollar Men 1=OUTLAWS 2=Pool Boys 3=Loosy's Lickbags 4=The Steagles 5=too GOOD AT this 6=Philipsburg-Osceola Infamous/FAMOUS 7=McGee 8=Captain Fantasy 9=Wild Boys
1|0|Bijan Robinson RB ATL
2|1|Josh Allen QB BUF
3|2|Ja'Marr Chase WR CIN
4|3|Saquon Barkley RB PHI
5|4|Justin Jefferson WR MIN
6|5|Jahmyr Gibbs RB DET
7|6|CeeDee Lamb WR DAL
8|7|Christian McCaffrey RB SF
9|8|Derrick Henry RB BAL
10|9|Lamar Jackson QB BAL
11|9|Amon-Ra St. Brown WR DET
12|8|Joe Burrow QB CIN
13|7|Nico Collins WR HOU
14|6|Chase Brown RB CIN
15|5|Malik Nabers WR NYG
16|4|Josh Jacobs RB GB
17|3|Puka Nacua WR LAR
18|2|Brian Thomas Jr. WR JAC
19|1|Jayden Daniels QB WAS
20|0|Jonathan Taylor RB IND
21|0|Ashton Jeanty RB LV
22|1|Drake London WR ATL
23|2|Jalen Hurts QB PHI
24|3|De'Von Achane RB MIA
25|4|Kyren Williams RB LAR
26|5|Bucky Irving RB TB
27|6|Davante Adams WR LAR
28|7|James Cook RB BUF
29|8|Tyreek Hill WR MIA
30|9|Brock Bowers TE LV
31|9|James Conner RB ARI
32|8|Ladd McConkey WR LAC
33|7|Tee Higgins WR CIN
34|6|TreVeyon Henderson RB NE
35|5|A.J. Brown WR NE
36|4|Mike Evans WR SF
37|3|Trey McBride TE ARI
38|2|Omarion Hampton RB LAC
39|1|Kenneth Walker III RB KC
40|0|Jaxon Smith-Njigba WR SEA
41|0|Marvin Harrison Jr. WR ARI
42|1|Terry McLaurin WR WAS
43|2|Xavier Worthy WR KC
44|3|Courtland Sutton WR DEN
45|4|George Kittle TE SF
46|5|Patrick Mahomes QB KC
47|6|DK Metcalf WR PIT
48|7|Chuba Hubbard RB CAR
49|8|Baker Mayfield QB TB
50|9|Breece Hall RB NYJ
51|9|Zay Flowers WR BAL
52|8|Tony Pollard RB TEN
53|7|Dak Prescott QB DAL
54|6|RJ Harvey RB DEN
55|5|Bo Nix QB DEN
56|4|Alvin Kamara RB NO
57|3|Kyler Murray QB MIN
58|2|Isiah Pacheco RB DET
59|1|D'Andre Swift RB CHI
60|0|Garrett Wilson WR NYJ
61|0|Justin Herbert QB LAC
