rank|pos_rank|player|trend|avg_pick|hi_lo|pct_drafted
95|1|Brandon Aubrey K • DAL *|+2|96.57|56/136|97.8
96|35|Jacory Croskey-Merritt RB • WAS *|-1|97.01|74/130|97.1
97|14|Jaxson Dart QB • NYG *|-6|99.72|47/140|95.1
98|15|Jared Goff QB • DET *||100.08|46/140|94.1
99|36|Chuba Hubbard RB • CAR *|-6|101.54|73/129|97.1
100|37|Blake Corum RB • LAR *|+5|102.35|74/136|95.8
101|3|Rams DST • LAR *|-1|102.60|63/144|95.6
102|36|Quentin Johnston WR • LAC *|-1|103.66|79/135|96.3
103|11|Isaiah Likely TE • NYG *||103.97|70/146|94.8
104|4|Seahawks DST • SEA *|-2|104.11|68/144|95.8
105|37|Carnell Tate WR • TEN *|+1|104.23|71/148|89.4
106|38|Kyle Monangai RB • CHI *|-2|105.37|78/140|94.6
107|2|Jason Myers K • SEA *||105.56|62/152|97.8
108|38|Chris Godwin WR • TB *||107.04|78/147|93.6
109|5|Vikings DST • MIN *|+10|109.12|62/157|94.8
110|12|Mark Andrews TE • BAL *|-1|109.36|69/154|91.2
111|39|Jordan Addison WR • MIN *|+1|111.74|80/148|92.6
112|13|Travis Kelce TE • KC *|-1|111.85|70/152|91.2
113|16|Bo Nix QB • DEN *|-3|112.12|56/153|90.4
114|39|Kenneth Gainwell RB • TB *|+1|113.42|85/144|91.9
115|14|Dalton Kincaid TE • BUF *|+2|115.01|70/156|88.9
116|40|Michael Wilson WR • ARI *|-2|115.20|82/154|92.1
117|3|Ka'imi Fairbairn K • HOU *|-4|115.97|72/158|97.5
118|17|Baker Mayfield QB • TB *|+2|118.12|69/161|85.3
119|40|Aaron Jones RB • MIN *|-1|118.66|90/152|90.7
120|6|Eagles DST • PHI *|-4|121.42|79/166|95.1
121|41|Rachaad White RB • WAS *||122.02|96/155|90.2
122|41|De'Zhaun Stribling WR • SF *|+16|122.20|78/166|85.3
123|42|Chris Rodriguez Jr. RB • JAC *|-1|123.57|97/156|85.5
124|42|Stefon Diggs WR • WAS *|-1|125.59|88/172|82.6
125|43|Mike Washington Jr. RB • LV *|+66|127.44|76/185|61.9
126|4|Cameron Dicker K • LAC *||127.88|83/172|97.8
127|18|Kyler Murray QB • MIN *|+8|129.22|82/166|81.3
128|19|Sam Darnold QB • SEA *|+6|130.78|77/177|64.9
129|43|Jayden Reed WR • GB *|+23|131.68|95/169|76.9
130|15|Jake Ferguson TE • DAL *|+9|134.00|85/167|75.9
131|44|Woody Marks RB • HOU *|+14|134.12|97/163|77.6
132|44|KC Concepcion WR • CLE *|+9|134.26|96/173|74.9
133|45|Deebo Samuel WR • SF *|+3|134.26|95/175|79.1
134|20|Jordan Love QB • GB *|-4|134.65|86/174|66.6
135|46|Josh Downs WR • IND *|-8|135.52|93/176|70.3
136|47|Jakobi Meyers WR • JAC *|-7|135.71|99/175|72.7
137|45|Zach Charbonnet RB • SEA *|-12|135.73|100/170|76.4
138|48|Matthew Golden WR • GB *|-7|135.99|88/184|61.4
139|49|Rashid Shaheed WR • SEA *|+8|136.41|98/177|75.2
140|7|Steelers DST • PIT *|+2|136.46|92/175|86.0
141|50|Romeo Doubs WR • NE *|+26|136.50|91/180|64.9
142|51|Michael Pittman WR • PIT *|-5|136.58|92/178|64.4
143|46|Tyrone Tracy Jr. RB • NYG *|-10|136.63|106/166|76.2
144|21|Daniel Jones QB • IND *||136.94|91/176|56.3
145|8|Patriots DST • NE *|+5|137.51|90/177|87.2
146|52|Xavier Worthy WR • KC *|-18|137.52|98/179|65.6
147|53|Makai Lemon WR • PHI *|+7|138.48|91/185|62.2
148|54|Wan'Dale Robinson WR • TEN *|-24|138.54|95/182|61.4
149|47|MarShawn Lloyd RB • GB *|+39|141.11|95/192|42.5
150|5|Jake Bates K • DET *|+18|141.51|99/185|93.6
151|22|Tyler Shough QB • NO *|-8|141.66|94/177|59.7
152|48|Isiah Pacheco RB • DET *|-12|141.89|101/178|68.8
153|23|C.J. Stroud QB • HOU *|+4|143.15|86/183|46.2
154|9|Chargers DST • LAC *|-1|143.24|101/177|75.7
155|49|Tyler Allgeier RB • ARI *|+5|143.76|99/181|53.6
156|6|Cam Little K • JAC *|+10|143.83|100/184|89.4
157|50|Kaelon Black RB • SF *|+4|144.70|111/178|63.6
158|10|Ravens DST • BAL *|+5|144.76|98/182|77.9
159|16|Brenton Strange TE • JAC *|+3|144.92|117/180|65.4
160|24|Malik Willis QB • MIA *|-9|145.06|98/180|46.4
161|11|Lions DST • DET *|-5|145.70|102/188|64.6
162|7|Blake Grupe K • IND *|+7|145.73|100/186|80.1
163|51|Jonah Coleman RB • DEN *||147.41|94/202|32.2
164|55|Ja'Kobi Lane WR • BAL *|+16|147.86|104/189|59.2
165|17|Juwan Johnson TE • NO *|+7|147.90|118/183|58.2
166|52|Braelon Allen RB • NYJ *|+9|149.38|111/182|55.0
167|53|Keaton Mitchell RB • LAC *|-12|149.57|108/199|28.0
168|56|Jalen Coker WR • CAR *|+5|149.61|119/178|58.0
169|57|Jordyn Tyson WR • NO *|-37|149.72|92/194|33.2
